name;rating;fide_id;country;title
Dreev Aleksey;2657;4100107;RU;GM
Mareco Sandro;2643;112275;AR
Fedorchuk Sergey A.;2631;14102536;UA
Vovk Yuri;2586;14113171;UA
Martinez Alcantara Jose Eduardo;2583;3805662;PE
Epishin Vladimir;2564;4162714;RU
Kharitonov Alexandr;2547;4135202;RU
Basso Pier Luigi;2539;866970;IT
Rychagov Andrey;2520;4119932;RU
Strikovic Aleksa;2503;900150;RS
Barseghyan Harutyun;2495;13304585;FR
SONIS Francesco;2494;895733;IT
Arjun Kalyan;2484;35018701;IN
Yankelevich Lev;2484;24684074;DE
Repka Christopher;2482;14918781;SK
Kjartansson Gudmundur;2459;2301318;IS
Romanishin Oleg M;2451;14100088;UA
Gilevych Artem;2448;14121379;IT
Ankit R. Rajpara;2447;5023335;IN
Low Zhen Yu Cyrus;2443;5804175;SG
Maurizzi Marc Andria;2433;36083534;FR
Siddharth Jagadeesh;2416;5818320;SG
Solomon Kenny;2383;14300192;ZA
Can Isik;2379;6383742;TR
Yu Jennifer;2369;2078341;US
Anand Nadar;2366;25009141;IN
Drazic Sinisa;2365;901172;RS
Dudin Gleb;2317;34184934;RU
Eugene Floryan;2304;20694784;FR
Guerrero Sierra Juan Carlos;2290;4403169;CO
LUMACHI Gabriele;2286;2817247;IT
Vignesh B;2283;5073600;IN
Mezentsev Ivan;2281;13706195;KZ
Vuelban Virgilio;2268;5201896;PH
CORVI Marco;2253;801895;IT
BRANCALEONI Maurizio;2252;803022;IT
Antolak Julia;2245;1159569;PL
Le Goff Ronan;2229;612073;FR
ORFINI Nicolo';2228;2805028;IT
Ojas Kulkarni;2226;25040073;IN
Gallana Marco;2221;824542;IT
Soto Miguel Angel;2217;4427467;CO
Mooser Stefan;2215;4609816;DE
Barrish Daniel;2209;14304600;ZA
Alok Sinha;2205;25072765;IN
Dev Shah;2183;35019058;IN
Bernardi Ruben;2182;804428;IT
Lahav Michal;2178;2813742;IL
Borges Guilherme Deola;2171;2109085;BR
Bettalli Francesco;2169;2816453;IT
Varvaglione Antonio;2154;854530;IT
DREI Andrea;2153;800805;IT
Iafelice Vincenzo;2105;810541;IT
Souhardo Basak;2104;35092910;IN
Paksoy Nail;2100;6303480;TR
RAGO Riccardo;2097;804681;IT
VERRASCINA Roberto;2094;802395;IT
Baracca Paolo;2081;845930;IT
TRIPODI ENZO;2058;2822674;IT
Gohshtein Pavel;2055;34347003;RU
BECCARINI FRANCESCO;2048;2824758;IT
PICCINNO Matteo;2035;899917;IT
Aarav Dengla;2035;45059756;IN
TONETTO FEDERICO;2033;2854266;IT
Mooser Nicolas;2026;12979406;DE
RACCANELLO Marianna;2023;897558;IT
Cayla Jonathan;1997;681326;FR
GHODS Maziar;1992;838551;IT
Pecci William;1991;2831940;IT
Paduano Claudio;1959;2806393;IT
Grimaldi Angela Flavia;1924;2805214;IT
Simeone Giulio;1922;808792;IT
